net_manager,purchase_area,street,zipcode_from,zipcode_to,city,num_connections,delivery_perc,perc_of_active_connections,type_conn_perc,type_of_connection,annual_consume
8716912000008,871691280000000008,K de Raadstraat,7902JA,7902JA,HOOGEVEEN,17.0,100.0,100.0,100.0,1x40,2737
8716912000008,871691280000000008,K de Raadstraat,7902JB,7902JB,HOOGEVEEN,16.0,93.75,100.0,63.0,1x40,2468
8716912000008,871691280000000008,K de Raadstraat,7902JC,7902JC,HOOGEVEEN,11.0,100.0,100.0,73.0,1x25,1854
8716912000008,871691280000000008,K de Raadstraat,7902JD,7902JD,HOOGEVEEN,11.0,100.0,100.0,55.0,1x25,5176
8716912000008,871691280000000008,K de Raadstraat,7902JE,7902JE,HOOGEVEEN,10.0,100.0,100.0,50.0,1x40,2910
8716912000008,871691280000000008,Jan Dekkerstraat,7902JG,7902JG,HOOGEVEEN,19.0,100.0,100.0,63.0,1x25,3415
8716912000008,871691280000000008,Jan Dekkerstraat,7902JH,7902JH,HOOGEVEEN,12.0,100.0,100.0,58.0,1x40,3465
8716912000008,871691280000000008,Jan Dekkerstraat,7902JJ,7902JJ,HOOGEVEEN,20.0,100.0,100.0,55.0,1x25,2831
8716912000008,871691280000000008,Willem de Zwijgerstraat,7902JK,7902JK,HOOGEVEEN,14.0,100.0,100.0,57.0,1x40,3131
8716912000008,871691280000000008,P Dubbeldamstraat,7902JL,7902JR,HOOGEVEEN,38.0,100.0,97.37,50.0,1x40,2429
8716912000008,871691280000000008,Albert Rozemanstraat,7902JS,7902JS,HOOGEVEEN,16.0,100.0,100.0,50.0,1x25,3251
8716912000008,871691280000000008,Albert Rozemanstraat,7902JT,7902JT,HOOGEVEEN,18.0,100.0,100.0,67.0,1x40,2554
8716912000008,871691280000000008,Albert Rozemanstraat,7902JV,7902JV,HOOGEVEEN,13.0,100.0,100.0,62.0,1x25,2503
8716912000008,871691280000000008,Dr van de Veldestraat,7902KA,7902KA,HOOGEVEEN,12.0,100.0,100.0,42.0,1x40,3224
8716912000008,871691280000000008,Dr van de Veldestraat,7902KB,7902KB,HOOGEVEEN,18.0,100.0,100.0,67.0,1x25,2558
8716912000008,871691280000000008,Dr van de Veldestraat,7902KC,7902KC,HOOGEVEEN,15.0,100.0,100.0,60.0,1x25,2384
8716912000008,871691280000000008,Dr van de Veldestraat,7902KD,7902KD,HOOGEVEEN,19.0,100.0,100.0,68.0,1x25,2432
8716912000008,871691280000000008,Dr van de Veldestraat,7902KE,7902KE,HOOGEVEEN,15.0,100.0,100.0,47.0,1x25,2704
8716912000008,871691280000000008,Het Haagje,7902LA,7902LA,HOOGEVEEN,61.0,100.0,98.36,56.0,1x40,5267
8716912000008,871691280000000008,Het Haagje,7902LB,7902LB,HOOGEVEEN,15.0,100.0,100.0,73.0,1x25,1217
8716912000008,871691280000000008,Het Haagje,7902LC,7902LC,HOOGEVEEN,12.0,100.0,100.0,92.0,1x25,1911
8716912000008,871691280000000008,Het Haagje,7902LD,7902LD,HOOGEVEEN,38.0,100.0,100.0,71.0,1x40,3339
8716912000008,871691280000000008,Het Haagje,7902LE,7902LE,HOOGEVEEN,34.0,100.0,100.0,65.0,1x40,10576
8716912000008,871691280000000008,Het Haagje,7902LG,7902LG,HOOGEVEEN,12.0,100.0,100.0,50.0,1x40,7541
8716912000008,871691280000000008,Kanaalweg,7902LH,7902LH,HOOGEVEEN,18.0,100.0,94.44,44.0,1x40,12329
8716912000008,871691280000000008,Kanaalweg,7902LJ,7902LJ,HOOGEVEEN,15.0,100.0,100.0,40.0,1x25,3716
8716912000008,871691280000000008,Kanaalweg,7902LK,7902LK,HOOGEVEEN,22.0,100.0,100.0,55.0,1x40,2982
8716912000008,871691280000000008,Kanaalweg,7902LL,7902LL,HOOGEVEEN,22.0,100.0,100.0,50.0,1x25,3406
8716912000008,871691280000000008,Kanaalweg,7902LM,7902LM,HOOGEVEEN,32.0,100.0,90.63,63.0,3x25,6501
8716912000008,871691280000000008,Kanaalweg,7902LN,7902LN,HOOGEVEEN,17.0,94.12,100.0,47.0,1x40,4033
8716912000008,871691280000000008,Kanaalweg,7902LP,7902LP,HOOGEVEEN,19.0,94.74,100.0,53.0,1x40,2960
8716912000008,871691280000000008,Noord,7902LR,7902NA,HOOGEVEEN,21.0,95.24,90.48,43.0,1x40,4291
8716912000008,871691280000000008,Sportlaan,7902NB,7902NB,HOOGEVEEN,23.0,95.65,100.0,43.0,3x25,3760
8716912000008,871691280000000008,Oosterstraat,7902NC,7902NC,HOOGEVEEN,14.0,100.0,100.0,93.0,1x40,2134
8716912000008,871691280000000008,Kalkovenstraat,7902ND,7902ND,HOOGEVEEN,12.0,100.0,100.0,50.0,1x40,2532
8716912000008,871691280000000008,Linthorst Homanstraat,7902NE,7902NE,HOOGEVEEN,13.0,100.0,100.0,69.0,1x40,7694
8716912000008,871691280000000008,Linthorst Homanstraat,7902NG,7902NG,HOOGEVEEN,13.0,100.0,92.31,46.0,1x25,3594
8716912000008,871691280000000008,Linthorst Homanstraat,7902NH,7902NH,HOOGEVEEN,13.0,92.31,100.0,38.0,1x25,3670
8716912000008,871691280000000008,Julianastraat,7902NJ,7902NK,HOOGEVEEN,29.0,100.0,100.0,48.0,1x25,5806
8716912000008,871691280000000008,Fabrieksweg,7902NL,7902NM,HOOGEVEEN,19.0,100.0,100.0,37.0,1x25,4785
8716912000008,871691280000000008,De Vos van Steenwijklaan,7902NN,7902NN,HOOGEVEEN,22.0,95.45,100.0,41.0,1x25,5052
8716912000008,871691280000000008,De Vos van Steenwijklaan,7902NP,7902NP,HOOGEVEEN,25.0,100.0,96.0,32.0,3x25,15659
